"","Gene.Description","Gene.Accession.Number","index"
"6442","PCCA Propionyl-coA carboxylase alpha chain","S79219_s_at",6442
"6443","LAMP2 Lysosome-associated membrane protein 2 {alternative products}","S79873_s_at",6443
"6444","Fatty acid synthase {3' region} [human; breast and HepG2 cells; mRNA Partial; 2237 nt]","S80437_s_at",6444
"6445","GB DEF = Beta adducin","X58199_s_at",6445
"6446","Mitogen induced nuclear orphan receptor (MINOR) mRNA","S81243_s_at",6446
"6447","GB DEF = Hs-TBX2=T-box gene {T-box region} [human; fetal kidney; mRNA Partial; 283 nt]","S81264_s_at",6447
"6448","SNT1 Syntrophin; alpha (dystrophin-associated protein A1; 59kD; acidic component)","S81737_s_at",6448
"6449","GB DEF = SSX3=Kruppel-associated box containing SSX gene [human; testis; mRNA Partial; 675 nt]","S82471_s_at",6449
"6450","Description: UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase gene extracted from UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase/GalNAc-transferase {3' region; exon 11} [human; placenta; Genomic; 1902 nt]","S82597_rna1_s_at",6450
"6451","Nuclear orphan receptor mRNA","S83309_s_at",6451
"6452","GB DEF = Aspartyl(asparaginyl)beta-hydroxylase [human; hepatoblastoma cell line HepG2; mRNA Partial; 2324 nt]","S83325_s_at",6452
"6453","GB DEF = Differentiation-stimulating factor/leukemia inhibitory factor receptor {5' region; exon 1} [human; placenta; Genomic; 1350 nt]","S83362_s_at",6453
"6454","T3 receptor-associating cofactor-1 [human; fetal liver; mRNA; 2930 nt]","S83390_s_at",6454
"6455","ADCYAP1 Adenylate cyclase activating polypeptide 1 (pituitary)","S83513_s_at",6455
"6456","FRK Fyn-related kinase","U22322_s_at",6456
"6457","Liver mRNA fragment DNA binding protein UPI homologue (C-terminus)","X04347_s_at",6457
"6458","HNRPA1 Heterogeneous nuclear ribonucleoprotein A1","U00947_s_at",6458
"6459","Paired box homeotic protein (PAX3) gene","U12259_cds2_s_at",6459
"6460","TYRO3 Receptor protein-tyrosine kinase sky","U02566_s_at",6460
"6461","GB DEF = FLT3/FLK2 ligand mRNA","U04806_s_at",6461
"6462","HAES-1 mRNA","X73358_s_at",6462
"6463","GB DEF = Chromosome 1q subtelomeric sequence D1S553","U06155_at",6463
"6464","GB DEF = Chromosome 1q subtelomeric sequence D1S553","U06155_s_at",6464
"6465","UDP glucuronosyltransferase precursor (UGT2B15) mRNA","U08854_s_at",6465
"6466","MUC5B Mucin 5; subtype B; tracheobronchial","Z48314_s_at",6466
"6467","Cytochrome b561 gene","U29463_s_at",6467
"6468","Intestinal peptide-associated transporter HPT-1 mRNA","U07969_s_at",6468
"6469","GB DEF = Nicotinamide N-methyltransferase gene; exon 1 and 5' flanking region","U51010_s_at",6469
"6470","GB DEF = R kappa B mRNA","U08191_s_at",6470
"6471","Thymopoietin beta mRNA","U09087_s_at",6471
"6472","Thymopoietin (TMPO) gene","U18271_cds3_s_at",6472
"6473","Dihydropyrimidine dehydrogenase mRNA","U09178_s_at",6473
"6474","GARS Glycyl-tRNA synthetase","U09510_s_at",6474
"6475","ERGIC-53 PROTEIN PRECURSOR","U09716_s_at",6475
"6476","ATRX gene (putative DNA dependent ATPase and helicase) extracted from Human putative DNA dependent ATPase and helicase (ATRX) gene","U72935_cds3_s_at",6476
"6477","Helicase II (RAD54L) mRNA","U09820_s_at",6477
"6478","Nek2 mRNA for protein kinase","Z29066_s_at",6478
"6479","SLO Homolog of Drosophila slowpoke (potassium channel; calcium-activated)","U11717_s_at",6479
"6480","Large-conductance calcium-activated potassium channel (hSlo) mRNA","U13913_s_at",6480
"6481","GB DEF = NMDA receptor subtype 2B subunit (GRIN2B) mRNA; partial cds","U28758_s_at",6481
"6482","ABP1 Amiloride binding protein 1 (amine oxidase (copper-containing))","U11862_s_at",6482
"6483","RAD52 RAD52 (S. cerevisiae) homolog","U27516_s_at",6483
"6484","GPD2 Glycerol-3-phosphate dehydrogenase 2 (mitochondrial)","U12424_s_at",6484
"6485","ELAV-like neuronal protein-2 Hel-N2 mRNA","U29943_s_at",6485
"6486","WAS Wiskott-Aldrich syndrome (ecezema-thrombocytopenia)","U12707_s_at",6486
"6487","MAP KINASE-ACTIVATED PROTEIN KINASE 2","X75346_s_at",6487
"6488","Negative regulator of programmed cell death ICH-1S (Ich-1) mRNA","U13021_s_at",6488
"6489","DNA mismatch repair gene homologue (hPMS2) mRNA","U13696_s_at",6489
"6490","MAP1A Microtubule-associated protein 1A","U14577_s_at",6490
"6491","E2F5 E2F transcription factor 5; p130-binding","U15642_s_at",6491
"6492","SLC6A6 Solute carrier family 6 (neurotransmitter transporter; taurine); member 6","U16120_s_at",6492
"6493","Glioma pathogenesis-related protein (GliPR) mRNA","X91911_s_at",6493
"6494","Bak protein mRNA","U16812_s_at",6494
"6495","Bak protein mRNA","U16811_s_at",6495
"6496","Bak protein mRNA","X84213_s_at",6496
"6497","MHC CLASS II TRANSACTIVATOR CIITA","X74301_s_at",6497
"6498","MST1 (MST1) mRNA","U18297_s_at",6498
"6499","GAGE4 G antigen 6 (GAGE-6)","U19147_s_at",6499
"6500","GT334 protein (GT334) gene mRNA","U19252_s_at",6500
"6501","GB DEF = Squamous cell carcinoma antigen 2 (SCCA2) mRNA","U19557_s_at",6501
"6502","Phosphodiesterase A' subunit (PDE6C) mRNA","U31973_s_at",6502
"6503","Cysteine protease Mch2 isoform alpha (Mch2) mRNA","U20536_s_at",6503
"6504","CASR Calcium-sensing receptor (hypocalciuric hypercalcemia 1; severe neonatal hyperparathyroidism)","U20759_s_at",6504
"6505","Neural-restrictive silencer factor; splice variant mRNA; partial cds","U22314_s_at",6505
"6506","MOP1 mRNA","U22431_s_at",6506
"6507","6-16 gene (interferon-inducible peptide precursor) extracted from Human interferon-inducible peptide (6-16) gene","U22970_rna1_s_at",6507
"6508","CSN1 Casein; alpha S1","X78416_s_at",6508
"6509","Abl interactor 2 (Abi-2) mRNA","U23435_s_at",6509
"6510","GB DEF = T-lymphocyte specific protein tyrosine kinase p56lck (lck) abberant mRNA","U23852_s_at",6510
"6511","CYP21 Cytochrome P450; subfamily XXI (steroid 21-hydroxylase; congenital adrenal hyperplasia)","U24488_s_at",6511
"6512","Neuronatin alpha mRNA","U25034_s_at",6512
"6513","GB DEF = D3 dopamine receptor mRNA","U32499_s_at",6513
"6514","BZIP protein NF-IL3A (IL3BP1) mRNA","U26173_s_at",6514
"6515","DHPS Deoxyhypusine synthase","U26266_s_at",6515
"6516","Heterochromatin protein HP1Hs-gamma mRNA","U26312_s_at",6516
"6517","Stress responsive serine/threonine protein kinase Krs-1 mRNA","U60206_s_at",6517
"6518","1-PHOSPHATIDYLINOSITOL-4;5-BISPHOSPHATE PHOSPHODIESTERASE BETA 3","Z16411_s_at",6518
"6519","Alpha-1;3 fucosyltransferase 6 (FCT3A) mRNA","U27333_at",6519
"6520","Alpha-1;3 fucosyltransferase 6 (FCT3A) mRNA","U27333_s_at",6520
"6521","FUT3 Alpha (1;3/1;4) fucosyltransferase","U27326_s_at",6521
"6522","Putative G protein-coupled receptor (AZ3B) mRNA","U28488_s_at",6522
"6523","TFIIB related factor hBRF (HBRF) mRNA","U75276_s_at",6523
"6524","Thimet oligopeptidase (metalloproteinase)","Z50115_s_at",6524
"6525","Splicing factor SRp40-1 (SRp40) mRNA","U30827_s_at",6525
"6526","Laminin gamma2 chain gene (LAMC2)","U31201_cds2_s_at",6526
"6527","UBE2I Ubiquitin-conjugating enzyme E2I (homologous to yeast UBC9)","U45328_s_at",6527
"6528","CREB-RP (creb-rp) mRNA","U31903_s_at",6528
"6529","Retinoid X receptor beta (RXRbeta) gene; partial 3' transcript; and collagen alpha2(XI) (COL11A2) gene","U41068_cds2_s_at",6529
"6530","GB DEF = Orphan receptor GPR9 (GPR9) gene; partial cds","U32674_s_at",6530
"6531","Leukotriene b4 receptor","U33448_s_at",6531
"6532","GB DEF = Potassium channel KCNO1 mRNA","U90065_s_at",6532
"6533","PTK7 Protein-tyrosine kinase 7","U40271_s_at",6533
"6534","TTF1 Transcription termination factor; RNA polymerase I","U43203_s_at",6534
"6535","TTF1 Transcription termination factor; RNA polymerase I","X82850_s_at",6535
"6536","GB DEF = Ataxia-telangiectasia locus protein (ATM) gene; exons 1a; 1b; 2; 3 and 4; partial cds","U67092_at",6536
"6537","GB DEF = Ataxia-telangiectasia locus protein (ATM) gene; exons 1a; 1b; 2; 3 and 4; partial cds","U67092_s_at",6537
"6538","GB DEF = E14 and A-T proteins","X91196_s_at",6538
"6539","Epb72 gene exon 1","X85116_rna1_s_at",6539
"6540","GB DEF = Adenosine kinase mRNA","U33936_s_at",6540
"6541","GB DEF = CCAAT/enhancer binding protein alpha gene","U34070_s_at",6541
"6542","NBK apoptotic inducer protein","X89986_s_at",6542
"6543","Protein tyrosine phosphatase PTPsigma (PTPsigma) mRNA","U40317_s_at",6543
"6544","GB DEF = Nebulin mRNA; partial cds","U35637_s_at",6544
"6545","DNA-PK mRNA; partial cds","U35835_s_at",6545
"6546","GB DEF = Creatine transporter (SLC6A10) gene; partial cds","U41163_s_at",6546
"6547","Pre-T cell receptor alpha-type chain precursor; mRNA","U36759_s_at",6547
"6548","PPP2R4 Protein phosphatase 2A; regulatory subunit B' alpha-1","Z69030_s_at",6548
"6549","Kinesin-related protein","X85137_s_at",6549
"6550","GB DEF = Testis-specific hexokinase 1 (hHK1-tb) mRNA; partial cds","U38227_s_at",6550
"6551","GB DEF = Partial cDNA sequence; clone x101; putative microtubule-associated; protein 1A (MAP1A)","Z47038_s_at",6551
"6552","GIPR Gastric inhibitory polypeptide receptor","X81832_s_at",6552
"6553","Origin recognition complex 1 (HsORC1) mRNA","U40152_s_at",6553
"6554","Telomeric repeat binding factor (TRF1) mRNA","U74382_s_at",6554
"6555","Telomeric repeat binding factor (TRF1) mRNA","X93511_s_at",6555
"6556","Clk-associated RS cyclophilin CARS-Cyp mRNA","U40763_s_at",6556
"6557","NAGLU N-acetylglucosaminidase; alpha- (Sanfilippo disease IIIB","U40846_s_at",6557
"6558","TCOF1 Treacher Collins syndrome susceptibility protein","U76366_s_at",6558
"6559","Ring zinc-finger protein (ZNF127-Xp) gene and 5' flanking sequence","U41315_rna1_s_at",6559
"6560","72.1 protein","X76942_s_at",6560
"6561","Metargidin precursor mRNA","U41767_s_at",6561
"6562","NC2 alpha subunit","X96506_s_at",6562
"6563","HK3 Hexokinase 3 (white cell)","U51333_s_at",6563
"6564","Ets transcription factors NERF-1a and NERF-1b (NERF-1a;b) mRNA","U43189_s_at",6564
"6565","FRDA Friedreich ataxia","U43747_s_at",6565
"6566","B4B","U43916_s_at",6566
"6567","U1-snRNP binding protein homolog mRNA","U44799_s_at",6567
"6568","P2x1 receptor mRNA","U45448_s_at",6568
"6569","Dystrobrevin-alpha mRNA","U46746_s_at",6569
"6570","SPASMOLYTIC POLYPEPTIDE PRECURSOR","X51698_s_at",6570
"6571","Signal transducer and activator of transcription Stat5B mRNA","U47686_s_at",6571
"6572","CEBPE CCAAT/enhancer binding protein (C/EBP); epsilon","U48865_s_at",6572
"6573","MEF2A gene (myocyte-specific enhancer factor 2A; C9 form) extracted from Human myocyte-specific enhancer factor 2A (MEF2A) gene; first coding","U49020_cds2_s_at",6573
"6574","Enhancer of rudimentary homolog mRNA","Z49148_s_at",6574
"6575","CHIT1 Chitinase 1","U49835_s_at",6575
"6576","LIM protein (LPP) mRNA; partial cds","U49957_s_at",6576
"6577","GB DEF = Calcium; calmodulin-dependent protein kinase II delta mRNA; partial cds","U50361_s_at",6577
"6578","BRCA2 region; mRNA sequence CG018","U50527_s_at",6578
"6579","GB DEF = Mariner1 transposase gene; complete consensus sequence","U52077_s_at",6579
"6580","Fertilin beta mRNA","X99374_s_at",6580
"6581","STM-7 protein","X92493_s_at",6581
"6582","GB DEF = Adrenal Creb-rp homolog (Creb-rp); and tenascin-X (XB); partial cds; mRNA","U52696_s_at",6582
"6583","Delta-catenin mRNA; partial cds","U52828_s_at",6583
"6584","GB DEF = Plectin","Z54367_s_at",6584
"6585","TUB Tubby (mouse) homolog","U54644_s_at",6585
"6586","Ly-6-related protein (9804) gene","U66711_rna1_s_at",6586
"6587","Chromatin structural protein homolog (SUPT5H) mRNA","U56402_s_at",6587
"6588","Low-Mr GTP-binding protein (RAB31) mRNA","U59877_s_at",6588
"6589","FATTY ACID-BINDING PROTEIN; HEART","U57623_s_at",6589
"6590","Calcium ATPase isoform 3x/a mRNA","U57971_s_at",6590
"6591","INTERLEUKIN ENHANCER-BINDING FACTOR","X60787_s_at",6591
"6592","Transcription factor; forkhead related activator 4 (FREAC-4) gene","U59831_rna1_s_at",6592
"6593","RPS26 Ribosomal protein S26","U69140_s_at",6593
"6594","CDP-diacylglycerol synthase (CDS) mRNA","U60808_s_at",6594
"6595","Transmembrane protein Jagged 1 (HJ1) mRNA","U61276_s_at",6595
"6596","Ubiquitin-homology domain protein PIC1 mRNA","U67122_s_at",6596
"6597","Ubiquitin-homology domain protein PIC1 mRNA","X99586_s_at",6597
"6598","Ubiquitin-homology domain protein PIC1 mRNA","U61397_s_at",6598
"6599","Clone 23959 mRNA; partial cds","U79261_s_at",6599
"6600","CHRNB3 Cholinergic receptor; nicotinic; beta polypeptide 3","Y08417_s_at",6600
"6601","EXT2 Exostoses (multiple) 2","U72263_s_at",6601
"6602","EXT2 Exostoses (multiple) 2","U67368_s_at",6602
"6603","GB DEF = Connexin43 gap junction protein (connexin43) gene; exon 1 and promoter region","U64573_s_at",6603
"6604","MHC class I molecule (MICB) gene","U65416_rna1_s_at",6604
"6605","Ribosomal RNA upstream binding transcription factor (UBTF) gene; partial cds","X56687_s_at",6605
"6606","TCRB T-cell receptor; beta cluster","X00437_s_at",6606
"6607","Testis specific RNA binding protein (SPGYLA) mRNA","U66726_at",6607
"6608","Testis specific RNA binding protein (SPGYLA) mRNA","U66726_s_at",6608
"6609","GB DEF = Fibroblast growth factor 12 (partial)","Z70276_s_at",6609
"6610","Carnitine palmitoyltransferase I (CPTI) mRNA","U66828_s_at",6610
"6611","Lysosomal trafficking regulator (LYST) mRNA; partial cds","U70064_s_at",6611
"6612","PABPL1 Poly(A)-binding protein-like 1","U68105_s_at",6612
"6613","GB DEF = Polyadenylate binding protein II","Z48501_s_at",6613
"6614","GB DEF = Clone SCC-S1c; mRNA sequence","U68135_s_at",6614
"6615","MPL gene (thrombopoietin receptor) extracted from Human thrombopoietin receptor (MPL) gene","U68162_cds1_s_at",6615
"6616","FUSE binding protein 2 (FBP2) mRNA; partial cds","U69126_s_at",6616
"6617","TNF-alpha converting enzyme mRNA","U86755_s_at",6617
"6618","PHAPI2b protein","U70439_s_at",6618
"6619","Rit mRNA","U71203_s_at",6619
"6620","RIN Ric (Drosophila)-like (expressed in neurons)","Y07565_s_at",6620
"6621","GB DEF = Alternatively spliced B8 (B7) mRNA; partial sequence","U72509_s_at",6621
"6622","BTG2 (BTG2) mRNA","Y09943_s_at",6622
"6623","X-LINKED HELICASE II","U72936_s_at",6623
"6624","H_LUCA14.2a gene extracted from Human cosmid LUCA14","U73167_cds2_s_at",6624
"6625","HLA-DR ASSOCIATED PROTEIN I","U73477_s_at",6625
"6626","WSL-LR; WSL-S1 and WSL-S2 proteins","Y09392_s_at",6626
"6627","Sigma receptor mRNA","U79528_s_at",6627
"6628","TBP-associated factor (hTAFII100) mRNA; partial cds","U75309_s_at",6628
"6629","CD97 CD97 antigen (leucocyte antigen)","U76764_s_at",6629
"6630","Death adaptor molecule RAIDD (RAIDD) mRNA","U79115_s_at",6630
"6631","GB DEF = Alpha1A-voltage-dependent calcium channel mRNA; splice form BI-1-V2-GGCAG; partial cds","U79667_s_at",6631
"6632","P/Q-type calcium channel alpha1 subunit","X99897_s_at",6632
"6633","GB DEF = Transcription factor TBX5 mRNA","U80987_s_at",6633
"6634","GB DEF = EYA3 gene","Y10262_s_at",6634
"6635","SIP-1 mRNA","U82108_s_at",6635
"6636","CC chemokine STCP-1 mRNA","U83239_s_at",6636
"6637","GB DEF = CC chemokine receptor-5 (CCR5) gene","U83326_s_at",6637
"6638","GB DEF = CMKBR5 gene; non-functional mutant","X99393_s_at",6638
"6639","Death domain receptor 3 soluble form (DDR3) mRNA; partial cds","U83598_at",6639
"6640","Death domain receptor 3 soluble form (DDR3) mRNA; partial cds","U83598_s_at",6640
"6641","GB DEF = Netrin-2 like protein (NTN2l) mRNA","U86759_s_at",6641
"6642","Butyrophilin (BTF1) mRNA","U90543_at",6642
"6643","Butyrophilin (BTF1) mRNA","U90543_s_at",6643
"6644","Butyrophilin (BTF5) mRNA","U90552_at",6644
"6645","Butyrophilin (BTF5) mRNA","U90552_s_at",6645
"6646","Put. B7;3 molecule of CD80-CD60 protein family","Y07827_s_at",6646
"6647","Hydroxysteroid sulfotransferase SULT2B1a (HSST2) mRNA","U92314_s_at",6647
"6648","Metabotropic glutamate receptor 4 mRNA","U92457_s_at",6648
"6649","DAN26 protein; partial","Y08265_s_at",6649
"6650","GSPT1 G1 to S phase transition 1","X17644_s_at",6650
"6651","IFN-omega 1 gene for interferon-omega 1","X58822_rna1_s_at",6651
"6652","Transforming growth factor beta 1 precursor gene extracted from Human transforming growth factor-beta precursor gene exon 1 and 5'flanking region (and joined CDS)","X05839_rna1_s_at",6652
"6653","RPL32 Ribosomal protein L32","X04470_s_at",6653
"6654","Homeobox gene (clone HHO.c13)","X04706_s_at",6654
"6655","HISTIDYL-TRNA SYNTHETASE","Z11518_s_at",6655
"6656","COL3A1 Alpha-1 type 3 collagen","X06700_s_at",6656
"6657","CD20 RECEPTOR","X12530_s_at",6657
"6658","Cytochrome P450 db1 variant b","X07619_s_at",6658
"6659","GB DEF = SOD-2 gene for manganese superoxide dismutase","X65965_s_at",6659
"6660","MYH3 Myosin; heavy polypeptide 3; skeletal muscle; embryonic","X13100_s_at",6660
"6661","Transforming growth factor-beta 3 (TGF-beta 3) exon 1 (and joined CDS)","X14885_rna1_s_at",6661
"6662","KRT13 Keratin 13","X52426_s_at",6662
"6663","Inter-alpha-trypsin inhibitor heavy chain H3","X14690_s_at",6663
"6664","MBP1 gene; exon 1 (and joined CDS)","X15954_rna1_s_at",6664
"6665","P68 PROTEIN","X15729_s_at",6665
"6666","ITIH3 Pre-alpha (globulin) inhibitor; H3 polypeptide","X16260_s_at",6666
"6667","ENO3 Enolase 3; (beta; muscle)","X16504_s_at",6667
"6668","Open reading frame p25 (AA 1-223) gene extracted from Human HTLV-I related endogenous retroviral sequence (HRES-1/1)","X16660_cds1_s_at",6668
"6669","PTB-ASSOCIATED SPLICING FACTOR","X70944_s_at",6669
"6670","JunD mRNA","X56681_s_at",6670
"6671","TYRP1 Tyrosinase-related protein 1","X60955_s_at",6671
"6672","IL1RN Interleukin 1 receptor antagonist","X53296_s_at",6672
"6673","HOX3D gene for homeoprotein HOX3D","X61755_rna1_s_at",6673
"6674","NUCLEOLAR TRANSCRIPTION FACTOR 1","X53390_s_at",6674
"6675","GATA3 GATA-binding protein 3","X55037_s_at",6675
"6676","ALAS1 Aminolevulinate; delta-; synthase 1","Y00451_s_at",6676
"6677","HOX 2.2 gene extracted from Human Hox2.2 gene for a homeobox protein","X58431_rna2_s_at",6677
"6678","CSK C-src tyrosine kinase","X59932_s_at",6678
"6679","EGR4 Early growth response 4","X60104_s_at",6679
"6680","RETINOIC ACID RECEPTOR RXR-BETA","X63522_s_at",6680
"6681","RNA polymerase II largest subunit gene extracted from H.sapiens gene for RNA pol II largest subunit; exon 1","X74874_rna1_s_at",6681
"6682","GB DEF = Fas/Apo-1 (clone pCRTM11-Fasdelta(4;7))","X83492_at",6682
"6683","GB DEF = Fas/Apo-1 (clone pCRTM11-Fasdelta(4;7))","X83492_s_at",6683
"6684","GB DEF = Fas/Apo-1 (clone pCRTM11-Fasdelta(3;4))","X83490_s_at",6684
"6685","GB DEF = Fas (Apo-1; CD95)","X89101_s_at",6685
"6686","HFL1 H factor (complement)-like 1","X64877_at",6686
"6687","HFL1 H factor (complement)-like 1","X64877_s_at",6687
"6688","MYBPC1 Myosin-binding protein C; slow-type","X66276_s_at",6688
"6689","FACC Fanconi anemia complementation group C","X66894_s_at",6689
"6690","GB DEF = Complement factor H-related protein 4","X98337_s_at",6690
"6691","ZNF37A Zinc finger protein 37a (KOX 21)","X69116_s_at",6691
"6692","GB DEF = Integrin associated protein mRNA;","Z25521_s_at",6692
"6693","GB DEF = NOS2 gene; exon 27","X85781_s_at",6693
"6694","HPTPA mRNA","X86428_s_at",6694
"6695","2-5A binding protein","X74987_s_at",6695
"6696","GB DEF = MAL gene exon 4","X76223_s_at",6696
"6697","InsP3 5-phosphatase","X77567_s_at",6697
"6698","GB DEF = SYT-SSX; synovial sarcoma translocation junction","X79200_at",6698
"6699","GB DEF = SYT-SSX; synovial sarcoma translocation junction","X79200_s_at",6699
"6700","PKP1 Plakophilin 1","Z34974_s_at",6700
"6701","LAMB2 Laminin; beta 2 (laminin S)","X79683_s_at",6701
"6702","LPAP gene","X97267_rna1_s_at",6702
"6703","Dents Disease candidate gene","X81836_s_at",6703
"6704","ALPHA-CENTRACTIN","X82206_s_at",6704
"6705","MN1 protein (clone ICRFp507I0498)","Z70218_s_at",6705
"6706","SMA5 mRNA","X83301_s_at",6706
"6707","Membrane-type matrix metalloproteinase","X83535_s_at",6707
"6708","HEPATOCYTE NUCLEAR FACTOR 4","X87871_s_at",6708
"6709","HEPATOCYTE NUCLEAR FACTOR 4","Z49825_s_at",6709
"6710","mRNA translocon-associated protein delta subunit precursor","Z69043_s_at",6710
"6711","MST1 Macrophage stimulating 1 (hepatocyte growth factor-like)","X90846_at",6711
"6712","MST1 Macrophage stimulating 1 (hepatocyte growth factor-like)","X90846_s_at",6712
"6713","Cysteine-rich secretory protein-3","X95240_s_at",6713
"6714","Arg protein tyrosine kinase-binding protein","X95632_s_at",6714
"6715","GB DEF = MACH-beta-4 protein","X98178_s_at",6715
"6716","VASP gene; exons 4 to 13","X98534_s_at",6716
"6717","GB DEF = MCP-2 gene","X99886_s_at",6717
"6718","GB DEF = CD152 protein","Y10514_s_at",6718
"6719","GB DEF = CD190 protein","Y10508_s_at",6719
"6720","POU5F1 Octamer binding protein 3","Z11899_s_at",6720
"6721","Gene encoding E-cadherin; exon 3 and joined CDS","Z35402_rna1_s_at",6721
"6722","GB DEF = XG gene (clone RACE5)","Z48519_s_at",6722
"6723","LST1 mRNA; cLST1/E splice variant","AF000424_s_at",6723
"6724","CBP1 Collagen-binding protein 1","D83174_s_at",6724
"6725","GB DEF = Smooth muscle LIM protein (h-SmLIM) mRNA","U46006_s_at",6725
"6726","Pre-Mrna Splicing Factor Sf2p33; Alt. Splice Form 1","HG3546-HT3744_s_at",6726
"6727","Oncogene Ret/Ptc2; Fusion Activated","HG4677-HT5102_s_at",6727
"6728","IGHD gene (immunoglobulin delta-chain) extracted from Human germline IgD chain gene; C-region; C-delta-1 domain","K02882_cds1_s_at",6728
"6729","GNB1 Guanine nucleotide binding protein (G protein); beta polypeptide 1","M36430_s_at",6729
"6730","AKT2 V-akt murine thymoma viral oncogene homolog 2","M95936_s_at",6730
"6731","BETA-2-MICROGLOBULIN PRECURSOR","S82297_at",6731
"6732","Ins(1;3;4;5)P4-binding protein","X89399_s_at",6732
"6733","Cpg-Enriched Dna; Clone S21","HG3996-HT4266_at",6733
"6734","GB DEF = Alpha satellite and satellite 3 junction DNA sequence","M21305_at",6734
"6735","GB DEF = 75-kD autoantigen (PM-Sc1) mRNA","M58460_at",6735
"6736","GB DEF = HERVK10/HUMMTV reverse transcriptase homolog {clone RT240} [human; multiple sclerosis; brain plaques; mRNA Partial; 89 nt]","S77582_at",6736
"6737","GB DEF = Beta 1 integrin isoform D (ITGB1) gene; partial cds","U33880_at",6737
"6738","MICROTUBULE-ASSOCIATED PROTEIN TAU","X14474_at",6738
"6739","Mucin 3; Intestinal (Gb:M55405)","HG2147-HT2217_at",6739
"6740","Mucin 3; Intestinal (Gb:M55405)","HG2147-HT2217_r_at",6740
"6741","12-Lipoxygenase","HG2171-HT2241_at",6741
"6742","12-Lipoxygenase","HG2171-HT2241_r_at",6742
"6743","Potassium Channel Protein (Gb:Z11585)","HG2239-HT2324_at",6743
"6744","Potassium Channel Protein (Gb:Z11585)","HG2239-HT2324_r_at",6744
"6745","Glyceraldehyde-3-Phosphate Dehydrogenase (Gb:K03121)","HG2365-HT2461_at",6745
"6746","Spliceosomal Protein Sap 62","HG3033-HT3194_at",6746
"6747","Spliceosomal Protein Sap 62","HG3033-HT3194_r_at",6747
"6748","Golli-Mbp (Gb:L18862)","HG3115-HT3291_at",6748
"6749","Zinc Finger Protein (Gb:M88357)","HG3565-HT3768_at",6749
"6750","Zinc Finger Protein (Gb:M88357)","HG3565-HT3768_r_at",6750
"6751","Immunoglobulin Heavy Chain; Vdjrc Regions (Gb:L23566)","HG3731-HT4001_at",6751
"6752","Immunoglobulin Heavy Chain; Vdjrc Regions (Gb:L23566)","HG3731-HT4001_r_at",6752
"6753","Cpg-Enriched Dna; Clone E18","HG3991-HT4261_at",6753
"6754","Cpg-Enriched Dna; Clone E18","HG3991-HT4261_r_at",6754
"6755","Soxa","HG4340-HT4610_at",6755
"6756","Transcription Factor Btf3 Homolog (Gb:M90355)","HG4518-HT4921_at",6756
"6757","Transcription Factor Btf3 Homolog (Gb:M90355)","HG4518-HT4921_r_at",6757
"6758","Small Nuclear Ribonucleoprotein U1; 1snrp","HG4557-HT4962_at",6758
"6759","Small Nuclear Ribonucleoprotein U1; 1snrp","HG4557-HT4962_r_at",6759
"6760","ZNF91 Zinc finger protein 91 (HPF7; HTF10)","L11672_at",6760
"6761","ZNF91 Zinc finger protein 91 (HPF7; HTF10)","L11672_r_at",6761
"6762","GB DEF = Unproductively rearranged Ig mu-chain mRNA V-region (VD); 5' end; clone mu-3A1A","M21388_at",6762
"6763","GB DEF = Unproductively rearranged Ig mu-chain mRNA V-region (VD); 5' end; clone mu-3A1A","M21388_r_at",6763
"6764","Krueppel-related zinc finger protein (H-plk) mRNA","M55422_at",6764
"6765","GB DEF = MHC class II HLA-DR-beta-1*09012 (HLA-DRB1*09012) gene; 3'end cds","M96132_at",6765
"6766","GB DEF = Neurofilament triplet L protein mRNA; partial cds","U57341_at",6766
"6767","GB DEF = Neurofilament triplet L protein mRNA; partial cds","U57341_r_at",6767
"6768","Butyrophilin (BTF4) mRNA","U90546_at",6768
"6769","Butyrophilin (BTF4) mRNA","U90546_r_at",6769
"6770","DMA gene extracted from H.sapiens DMA; DMB; HLA-Z1; IPP2; LMP2; TAP1; LMP7; TAP2; DOB; DQB2 and RING8; 9; 13 and 14 genes","X87344_cds10_at",6770
"6771","DMA gene extracted from H.sapiens DMA; DMB; HLA-Z1; IPP2; LMP2; TAP1; LMP7; TAP2; DOB; DQB2 and RING8; 9; 13 and 14 genes","X87344_cds10_r_at",6771
"6772","GB DEF = TNNT2 gene exon 11","X98482_at",6772
"6773","GB DEF = TNNT2 gene exon 11","X98482_r_at",6773
"6774","Mucin (Gb:M22406)","HG1067-HT1067_r_at",6774
"6775","Microtubule-Associated Protein Tau; Alt. Splice 3; Exon 8","HG2566-HT4792_r_at",6775
"6776","Serine/Threonine Kinase (Gb:Z25424)","HG2702-HT2798_r_at",6776
"6777","Sry-Related Hmg-Box 12 Protein (Gb:X73039)","HG2887-HT3031_at",6777
"6778","Sry-Related Hmg-Box 12 Protein (Gb:X73039)","HG2887-HT3031_r_at",6778
"6779","GB DEF = Nonmuscle myosin heavy chain IIB gene; promoter region and exon 1","U34301_at",6779
"6780","GB DEF = Nonmuscle myosin heavy chain IIB gene; promoter region and exon 1","U34301_r_at",6780
